         54468576 function calls (54468080 primitive calls) in 325.338 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 sqlite_writer.py:9(SqliteWriter)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        1    0.000    0.000    0.000    0.000 dataclasses.py:610(_init_fn)
        6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        2    0.000    0.000    0.000    0.000 inspect.py:3051(__init__)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        2    0.000    0.000    0.000    0.000 typing.py:2066(__new__)
        1    0.000    0.000    0.000    0.000 csv_reader.py:11(CsvReader)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:792(_code_to_timestamp_pyc)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1367(_find_parent_path_names)
       12    0.000    0.000    0.000    0.000 typing.py:1380(__setattr__)
        1    0.000    0.000    0.000    0.000 dataclasses.py:1222(_add_slots)
       83    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     15/6    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       10    0.000    0.000    0.000    0.000 inspect.py:1441(formatannotation)
       10    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
       21    0.000    0.000    0.000    0.000 enum.py:1589(_get_value)
        4    0.000    0.000    0.000    0.000 _abc.py:130(with_segments)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:671(_check_name_wrapper)
       81    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        2    0.000    0.000    0.000    0.000 typing.py:2085(__init__)
        1    0.000    0.000    0.000    0.000 enum.py:1596(__or__)
       17    0.000    0.000    0.000    0.000 enum.py:1156(__new__)
       80    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 threading.py:1353(__init__)
     15/6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 inspect.py:2114(_signature_bound_method)
        7    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        5    0.000    0.000    0.000    0.000 _local.py:498(__init__)
        7    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
        3    0.000    0.000    0.000    0.000 _local.py:148(__truediv__)
        6    0.000    0.000    0.000    0.000 dataclasses.py:437(add_fn)
        2    0.000    0.000    0.000    0.000 typing.py:1939(_get_protocol_attrs)
        1    0.000    0.000    0.000    0.000 dataclasses.py:668(_frozen_get_del_attr)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
       65    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _local.py:329(parent)
        2    0.000    0.000    0.000    0.000 __init__.py:931(__init__)
        3    0.000    0.000    0.000    0.000 inspect.py:2008(_signature_get_user_defined_method)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
        3    0.000    0.000    0.000    0.000 {built-in method posix.open}
       66    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1410(_fixupParents)
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
       12    0.000    0.000    0.000    0.000 typing.py:1306(_is_dunder)
        4    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
        5    0.000    0.000    0.000    0.000 _local.py:117(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:727(_validate_timestamp_pyc)
        2    0.000    0.000    0.000    0.000 typing.py:1319(__init__)
        1    0.000    0.000    0.000    0.000 inspect.py:3119(replace)
       29    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       57    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        3    0.000    0.000    0.000    0.000 _local.py:277(_raw_path)
        9    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1601(<genexpr>)
        1    0.000    0.000    0.000    0.000 enum.py:1459(_missing_)
       45    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      7/5    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
