         132469137 function calls (132468628 primitive calls) in 546.841 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1230(path_stats)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:2130(getLogger)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       88    0.000    0.000    0.000    0.000 threading.py:1097(name)
        4    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
      146    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        6    0.000    0.000    0.000    0.000 enum.py:1607(__and__)
        2    0.000    0.000    0.000    0.000 typing.py:1670(copy_with)
       21    0.000    0.000    0.000    0.000 _parser.py:371(_escape)
        1    0.000    0.000    0.000    0.000 {built-in method _sqlite3.connect}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:200(_write_atomic)
        4    0.000    0.000    0.000    0.000 __init__.py:1362(getLogger)
        2    0.000    0.000    0.000    0.000 typing.py:1435(__init__)
        4    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        6    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.000    0.000 __init__.py:2005(basicConfig)
        4    0.000    0.000    0.000    0.000 _local.py:227(__str__)
        9    0.000    0.000    0.000    0.000 inspect.py:2850(__str__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1672(_fill_cache)
       17    0.000    0.000    0.000    0.000 enum.py:695(__call__)
       88    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       42    0.000    0.000    0.000    0.000 _parser.py:82(groups)
       88    0.000    0.000    0.000    0.000 __init__.py:391(getMessage)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1404(__len__)
       10    0.000    0.000    0.000    0.000 inspect.py:2763(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       86    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        3    0.000    0.000    0.000    0.000 _local.py:289(drive)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        1    0.000    0.000    0.000    0.000 csv.py:145(DictReader)
        1    0.000    0.000    0.000    0.000 csv_reader.py:12(CsvReader)
        2    0.000    0.000    0.000    0.000 inspect.py:3051(__init__)
