         60469805 function calls (60469309 primitive calls) in 376.325 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1120(__init__)
        1    0.000    0.000    0.000    0.000 _local.py:245(_from_parsed_parts)
       33    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 dataclasses.py:1308(fields)
        3    0.000    0.000    0.000    0.000 enum.py:1449(_iter_member_by_def_)
        1    0.000    0.000    0.000    0.000 dataclasses.py:407(_fields_in_init_order)
        6    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
        4    0.000    0.000    0.000    0.000 typing.py:1651(<genexpr>)
        9    0.000    0.000    0.000    0.000 dataclasses.py:383(field)
       11    0.000    0.000    0.000    0.000 inspect.py:3098(<genexpr>)
       32    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        2    0.000    0.000    0.000    0.000 __init__.py:958(createLock)
        9    0.000    0.000    0.000    0.000 dataclasses.py:531(_field_init)
        2    0.000    0.000    0.000    0.000 __init__.py:601(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:328(Integral)
       10    0.000    0.000    0.000    0.000 dataclasses.py:673(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1447(_clear_cache)
        9    0.000    0.000    0.000    0.000 __init__.py:205(_checkLevel)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.000    0.000 _compiler.py:394(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 _local.py:252(_from_parsed_string)
       29    0.000    0.000    0.000    0.000 inspect.py:2828(kind)
        1    0.000    0.000    0.000    0.000 numbers.py:172(Real)
        1    0.000    0.000    0.000    0.000 {built-in method _io.open}
       25    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       23    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        7    0.000    0.000    0.000    0.000 dataclasses.py:865(_set_new_attribute)
        1    0.000    0.000    0.000    0.000 threading.py:620(set)
       21    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        2    0.000    0.000    0.000    0.000 typing.py:173(_type_check)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1181(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1206(get_filename)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1014(create_module)
        1    0.000    0.000    0.000    0.000 threading.py:592(__init__)
       21    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        3    0.000    0.000    0.000    0.000 _local.py:237(_format_parsed_parts)
